Country,SiteID,studynumber,Measure_Year,Measure_Month,Latitude,Longitude,Elevation,IGBP_FromPaper,Rs_Norm,LogRs,Pm,Tm,LAI,BD,BS,C/N,CaCO3,CEC,Clay%,Sand%,Silt%,N,PH,GLC2000,GSOC,Rs_Estimate,YearMonth
China,CN-CWS,20014,2008,1,35.25,107.75,1202,BSV,0.363,-1.013352445,0.3,-2.1,0.2,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,0.477405044,1/1/08
China,CN-CWS,20014,2008,2,35.25,107.75,1202,BSV,0.404,-0.906340401,16.2,3.1,0.2,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,0.645125763,2/1/08
China,CN-CWS,20014,2008,3,35.25,107.75,1202,BSV,0.728,-0.317454231,17.2,8.6,0.3,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,0.887044614,3/1/08
China,CN-CWS,20014,2008,4,35.25,107.75,1202,BSV,0.994,-0.006018072,23.8,12.9,0.5,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,1.137815277,4/1/08
China,CN-CWS,20014,2008,5,35.25,107.75,1202,BSV,1.059,0.057325067,16.9,19.1,0.699,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,1.629201472,5/1/08
China,CN-CWS,20014,2008,6,35.25,107.75,1202,BSV,1.263,0.233489843,63.9,21.5,1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,1.87207979,6/1/08
China,CN-CWS,20014,2008,7,35.25,107.75,1202,BSV,1.746,0.557327457,97.4,22.9,1.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,2.030150646,7/1/08
China,CN-CWS,20014,2008,8,35.25,107.75,1202,BSV,1.507,0.41012092,92.6,21.3,1.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,1.850526142,8/1/08
China,CN-CWS,20014,2008,9,35.25,107.75,1202,BSV,1.6,0.470003629,113.2,16.5,0.6,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,1.401509682,9/1/08
China,CN-CWS,20014,2008,10,35.25,107.75,1202,BSV,0.855,-0.15665381,40.3,11.9,0.3,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,1.073806702,10/1/08
China,CN-CWS,20014,2008,11,35.25,107.75,1202,BSV,0.332,-1.10262031,5.8,4.9,0.3,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,0.71598934,11/1/08
China,CN-CWS,20014,2008,12,35.25,107.75,1202,BSV,0.322,-1.133203733,0,-0.2,0.3,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,4.87249,4,0.53292211,12/1/08
China,CN-NKY,20057,2005,1,37.75,112.75,831,CRO,0.918,-0.085557888,0.7,-6.6,0.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,0.33608069,1/1/05
China,CN-NKY,20057,2005,2,37.75,112.75,831,CRO,0.475,-0.744440475,10.7,-3.3,0.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,0.424477618,2/1/05
China,CN-NKY,20057,2005,3,37.75,112.75,831,CRO,1.433,0.359770149,4.6,4.1,0.2,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,0.694235527,3/1/05
China,CN-NKY,20057,2005,4,37.75,112.75,831,CRO,2.069,0.727065399,4.5,14.2,0.2,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,1.265926164,4/1/05
China,CN-NKY,20057,2005,5,37.75,112.75,831,CRO,4.259,1.449034391,20.8,19.2,0.2,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,1.653681476,5/1/05
China,CN-NKY,20057,2005,6,37.75,112.75,831,CRO,3.499,1.252477213,73.8,24.4,0.5,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,2.137583531,6/1/05
China,CN-NKY,20057,2005,7,37.75,112.75,831,CRO,6.759,1.91087495,130.2,25.4,1.2,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,3.240179508,7/1/05
China,CN-NKY,20057,2005,8,37.75,112.75,831,CRO,8.947,2.191318281,90,22.3,1.399,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,5.132131891,8/1/05
China,CN-NKY,20057,2005,9,37.75,112.75,831,CRO,6.204,1.825194245,15.4,18.2,0.699,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,3.470138764,9/1/05
China,CN-NKY,20057,2005,10,37.75,112.75,831,CRO,5.496,1.704020555,7,9.9,0.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,2.190065675,10/1/05
China,CN-NKY,20057,2005,11,37.75,112.75,831,CRO,2.649,0.97418221,2.5,4.2,0.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,0.698656552,11/1/05
China,CN-NKY,20057,2005,12,37.75,112.75,831,CRO,2.106,0.744790414,9,-5.5,0.1,1.5,97,5,10.2,6.3,11.7,81.6,6.8,0.09,8.2,5.0965,4,0.363636695,12/1/05
China,CN-HLG,6396,2009,1,30.25,102.25,2617,CSH,0.505,-0.68319685,11.5,-2.9,0.6,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,0.448488607,1/1/09
China,CN-HLG,6396,2009,2,30.25,102.25,2617,CSH,0.524,-0.646263595,2.6,4,0.5,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,0.717612894,2/1/09
China,CN-HLG,6396,2009,3,30.25,102.25,2617,CSH,0.754,-0.282362911,23.4,5.5,0.699,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,0.831069378,3/1/09
China,CN-HLG,6396,2009,4,30.25,102.25,2617,CSH,1.506,0.409457129,88.6,7.6,1.5,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,1.152096124,4/1/09
China,CN-HLG,6396,2009,5,30.25,102.25,2617,CSH,2.423,0.885006442,98.1,11.1,2.299,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,1.720346975,5/1/09
China,CN-HLG,6396,2009,6,30.25,102.25,2617,CSH,3.469,1.243866368,146.7,14.7,2.799,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,2.361152861,6/1/09
China,CN-HLG,6396,2009,7,30.25,102.25,2617,CSH,3.599,1.280656029,177.7,16.5,4.4,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,3.809888791,7/1/09
China,CN-HLG,6396,2009,8,30.25,102.25,2617,CSH,3.341,1.206270163,154.2,16,2,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,2.079182942,8/1/09
China,CN-HLG,6396,2009,9,30.25,102.25,2617,CSH,2.46,0.90016135,139.9,15,4.599,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,3.707037351,9/1/09
China,CN-HLG,6396,2009,10,30.25,102.25,2617,CSH,1.71,0.536493371,50.6,9,2.7,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,1.677114907,10/1/09
China,CN-HLG,6396,2009,11,30.25,102.25,2617,CSH,1.059,0.057325067,14.1,2.7,1,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,0.741672135,11/1/09
China,CN-HLG,6396,2009,12,30.25,102.25,2617,CSH,0.701,-0.355247392,11.1,-2.1,0.699,1.4,99,11,11.6,15.8,20.6,39.6,39.9,0.02,8.1,53.27872,6,0.488120001,12/1/09
China,CN-CMN,5303,2003,1,42.25,128.25,1137,DBF,0.375,-0.980829253,13,-15.8,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.424994097,1/1/03
China,CN-CMN,5303,2003,2,42.25,128.25,1137,DBF,0.416,-0.877070019,5.9,-10.1,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.534133218,2/1/03
China,CN-CMN,5303,2003,3,42.25,128.25,1137,DBF,0.663,-0.410980289,19.5,-5.3,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.647504199,3/1/03
China,CN-CMN,5303,2003,4,42.25,128.25,1137,DBF,0.972,-0.028399475,75.4,4.2,0.6,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.960578089,4/1/03
China,CN-CMN,5303,2003,5,42.25,128.25,1137,DBF,1.935,0.660107326,38.8,11,2.6,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,1.651460421,5/1/03
China,CN-CMN,5303,2003,6,42.25,128.25,1137,DBF,2.655,0.976444655,73.6,15.5,5.599,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,2.961734274,6/1/03
China,CN-CMN,5303,2003,7,42.25,128.25,1137,DBF,3.933,1.369402493,199.2,17,4.3,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,2.640794978,7/1/03
China,CN-CMN,5303,2003,8,42.25,128.25,1137,DBF,3.611,1.283984742,72.5,16.3,3.9,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,2.433109332,8/1/03
China,CN-CMN,5303,2003,9,42.25,128.25,1137,DBF,2.735,1.006131436,86.1,12,1.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,1.423786682,9/1/03
China,CN-CMN,5303,2003,10,42.25,128.25,1137,DBF,1.449,0.370873663,51,3.5,0.3,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.897026387,10/1/03
China,CN-CMN,5303,2003,11,42.25,128.25,1137,DBF,0.824,-0.193584749,47.5,-4.3,0.4,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.664985529,11/1/03
China,CN-CMN,5303,2003,12,42.25,128.25,1137,DBF,0.502,-0.689155159,12.8,-11.9,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,13.91748,4,0.496938005,12/1/03
China,CN-JYH,20065,2006,1,35.25,112.25,714,EBF,0.709,-0.343899752,23.6,-3.5,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,0.541411858,1/1/06
China,CN-JYH,20065,2006,2,35.25,112.25,714,EBF,0.89,-0.116533816,21.9,-0.7,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,0.656432768,2/1/06
China,CN-JYH,20065,2006,3,35.25,112.25,714,EBF,0.95,-0.051293294,7.2,7.1,0.699,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,1.122664637,3/1/06
China,CN-JYH,20065,2006,4,35.25,112.25,714,EBF,1.252,0.224742273,32.3,13,1.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,1.684763167,4/1/06
China,CN-JYH,20065,2006,5,35.25,112.25,714,EBF,2.218,0.796605889,79.7,17.3,3.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,2.26475141,5/1/06
China,CN-JYH,20065,2006,6,35.25,112.25,714,EBF,4.813,1.57132059,78.2,22.9,3.4,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,3.329243164,6/1/06
China,CN-JYH,20065,2006,7,35.25,112.25,714,EBF,6.504,1.872417372,129.9,23.3,1.7,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,3.422136282,7/1/06
China,CN-JYH,20065,2006,8,35.25,112.25,714,EBF,5.78,1.754403683,97.3,22,3,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,3.129349013,8/1/06
China,CN-JYH,20065,2006,9,35.25,112.25,714,EBF,3.245,1.17711535,87.1,16.6,2.9,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,2.158265738,9/1/06
China,CN-JYH,20065,2006,10,35.25,112.25,714,EBF,2.036,0.710987099,5.2,13.8,1.399,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,1.780091914,10/1/06
China,CN-JYH,20065,2006,11,35.25,112.25,714,EBF,1.312,0.271552691,35.1,5.7,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,1.019574109,11/1/06
China,CN-JYH,20065,2006,12,35.25,112.25,714,EBF,0.769,-0.262664309,8.3,-1.6,0.5,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,57.65113,1,0.617019285,12/1/06
China,CN-JRJ,20044,2004,1,31.75,119.25,31,ENF,0.641,-0.444725822,87.7,3.5,0.2,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,0.920587708,1/1/04
China,CN-JRJ,20044,2004,2,31.75,119.25,31,ENF,1.16,0.148420005,45.6,7.9,0.3,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,1.118624718,2/1/04
China,CN-JRJ,20044,2004,3,31.75,119.25,31,ENF,1.262,0.232697764,21.4,9.7,0.699,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,1.203302668,3/1/04
China,CN-JRJ,20044,2004,4,31.75,119.25,31,ENF,1.444,0.36741704,119.3,16.4,1,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,1.78787721,4/1/04
China,CN-JRJ,20044,2004,5,31.75,119.25,31,ENF,1.761,0.56588183,180.8,21.1,0.9,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,2.328266502,5/1/04
China,CN-JRJ,20044,2004,6,31.75,119.25,31,ENF,1.939,0.662172376,206.2,25.2,1.1,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,2.856725389,6/1/04
China,CN-JRJ,20044,2004,7,31.75,119.25,31,ENF,3.257,1.180806526,93.2,29.9,3.799,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,3.243457855,7/1/04
China,CN-JRJ,20044,2004,8,31.75,119.25,31,ENF,2.207,0.791634127,84.9,28.5,3.7,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,3.033657539,8/1/04
China,CN-JRJ,20044,2004,9,31.75,119.25,31,ENF,1.598,0.468752847,44.8,23.3,1.8,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,2.338047081,9/1/04
China,CN-JRJ,20044,2004,10,31.75,119.25,31,ENF,1.357,0.305276381,0,17.9,0.699,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,1.763753132,10/1/04
China,CN-JRJ,20044,2004,11,31.75,119.25,31,ENF,1.183,0.168053585,74.5,13.3,0.4,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,1.491769501,11/1/04
China,CN-JRJ,20044,2004,12,31.75,119.25,31,ENF,0.928,-0.074723546,56.2,6.7,0.3,1.5,85,11,0.8,18.7,36.8,42.8,20.4,0.07,6.8,50.44741,5,1.060722203,12/1/04
China,CN-NJB,20026,2008,1,26.25,119.25,428,GRA,2.943,1.079429469,75.7,7.9,3,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,0.94149711,1/1/08
China,CN-NJB,20026,2008,2,26.25,119.25,428,GRA,1.916,0.65023968,60,5.9,3.2,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,0.808654115,2/1/08
China,CN-NJB,20026,2008,3,26.25,119.25,428,GRA,1.642,0.495915011,67.8,12.1,3.299,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,1.08010256,3/1/08
China,CN-NJB,20026,2008,4,26.25,119.25,428,GRA,2.953,1.082821603,137.5,16.2,3.6,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,1.686480815,4/1/08
China,CN-NJB,20026,2008,5,26.25,119.25,428,GRA,4.782,1.564858869,260.7,19.8,4.599,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,3.200170213,5/1/08
China,CN-NJB,20026,2008,6,26.25,119.25,428,GRA,8.123,2.094699544,256,24,5.099,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,3.575124497,6/1/08
China,CN-NJB,20026,2008,7,26.25,119.25,428,GRA,7.951,2.073297707,337.6,25.4,4.099,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,5.244059961,7/1/08
China,CN-NJB,20026,2008,8,26.25,119.25,428,GRA,8.906,2.186725207,104.5,25.3,1.8,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,6.4512258,8/1/08
China,CN-NJB,20026,2008,9,26.25,119.25,428,GRA,9.158,2.214627814,60.9,24.8,5.4,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,5.02593899,9/1/08
China,CN-NJB,20026,2008,10,26.25,119.25,428,GRA,5.867,1.76934343,122.3,20.5,1.3,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,2.750629689,10/1/08
China,CN-NJB,20026,2008,11,26.25,119.25,428,GRA,4.236,1.443619428,42.4,14.9,2.6,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,1.079195655,11/1/08
China,CN-NJB,20026,2008,12,26.25,119.25,428,GRA,2.822,1.037445853,12.2,10.3,3.299,1.6,41,11,0,5.4,9.2,82.3,8.6,0.02,5.1,85.33032,4,0.79627076,12/1/08
China,CN-BLS,20064,2008,1,42.75,125.25,354,MF,0.162,-1.820158944,1.4,-18.3,0.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,0.103210674,1/1/08
China,CN-BLS,20064,2008,2,42.75,125.25,354,MF,0.208,-1.570217199,0,-12.2,0.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,0.192914537,2/1/08
China,CN-BLS,20064,2008,3,42.75,125.25,354,MF,0.548,-0.601479992,30.1,3.9,0.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,0.831913342,3/1/08
China,CN-BLS,20064,2008,4,42.75,125.25,354,MF,1.213,0.19309663,47.1,10.9,0.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,1.412347198,4/1/08
China,CN-BLS,20064,2008,5,42.75,125.25,354,MF,1.382,0.323531725,114.4,12.6,0.4,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,1.780951906,5/1/08
China,CN-BLS,20064,2008,6,42.75,125.25,354,MF,2.118,0.750472247,138.4,20.6,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,2.966040801,6/1/08
China,CN-BLS,20064,2008,7,42.75,125.25,354,MF,2.698,0.992510758,273.4,23.5,1.399,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,4.381297879,7/1/08
China,CN-BLS,20064,2008,8,42.75,125.25,354,MF,2.5,0.916290732,114.8,22.3,1.399,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,3.103147751,8/1/08
China,CN-BLS,20064,2008,9,42.75,125.25,354,MF,1.623,0.484276289,54.3,14.6,0.8,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,1.811378214,9/1/08
China,CN-BLS,20064,2008,10,42.75,125.25,354,MF,1.099,0.094400675,36.7,8.6,0.2,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,1.185598843,10/1/08
China,CN-BLS,20064,2008,11,42.75,125.25,354,MF,0.42,-0.867500568,9,-3.6,0.1,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,0.434990103,11/1/08
China,CN-BLS,20064,2008,12,42.75,125.25,354,MF,0.236,-1.443923474,10.7,-14.1,0,1.5,90,8,0.5,8,24.9,58.9,16.2,0.02,7.2,9.03819,4,0.162631723,12/1/08